,Country,Region,Year,Water Source Type,Water Treatment Method,"Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
1500,Bangladesh,Central,2013,Pond,Chlorination,26,72,28.2,51393,15.82,45.61,90.35,1196,39.61,191
1501,Brazil,North,2016,Well,,12,42,20.63,41171,31.58,11.58,22.71,1170,22.44,193
1502,Brazil,South,2004,Tap,Boiling,37,57,54.85,20617,52.32,66.88,90.69,1740,10.82,577
1503,Brazil,East,2001,Tap,Filtration,20,81,46.66,31678,11.25,26.15,60.58,850,12.7,648
1504,India,West,2019,River,Boiling,25,53,33.83,70500,47.85,17.27,82.84,2350,38.01,574
1505,Brazil,North,2015,Lake,,44,81,83.69,60618,44.53,77.36,95.89,2082,36.0,209
1506,USA,South,2013,Pond,Boiling,22,39,51.48,2345,23.19,48.85,37.23,1469,14.0,966
1507,Bangladesh,Central,2013,River,Boiling,29,99,10.97,78465,19.97,69.91,67.03,2395,2.54,555
1508,USA,North,2000,Spring,,30,26,30.98,24519,24.74,75.75,90.69,1018,33.34,55
1509,Ethiopia,North,2002,Well,Boiling,30,12,97.39,82950,60.51,87.17,87.55,869,36.58,729
1510,Bangladesh,West,2006,Lake,Chlorination,15,46,97.74,57229,41.5,59.9,61.68,1399,33.5,349
1511,USA,South,2014,River,,41,71,26.96,81198,41.4,15.46,95.96,968,36.52,851
1512,Bangladesh,East,2018,Tap,Chlorination,40,22,18.39,56969,18.17,54.62,76.68,618,23.04,571
1513,Ethiopia,Central,2019,Tap,,6,58,50.58,90361,78.74,50.76,61.93,2145,33.59,718
1514,Indonesia,South,2001,Lake,Boiling,16,76,49.18,19762,70.04,14.61,24.63,732,37.76,505
1515,India,Central,2018,Tap,Chlorination,23,6,42.19,3904,42.91,34.5,58.98,1107,35.6,532
1516,India,North,2008,River,Chlorination,19,49,53.88,65085,14.22,42.97,53.75,427,23.49,892
1517,Brazil,West,2018,River,Filtration,38,65,24.76,91049,71.47,22.88,44.42,1260,29.86,240
1518,China,West,2004,Tap,Chlorination,26,2,13.26,50034,89.88,10.7,95.43,1826,28.85,95
